epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,174.512,0.9006,0.76152,1.22031,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.11444e-05,2.11444e-05,2.11444e-05
80,176.12,0.72209,0.74511,1.09742,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.04848e-05,2.04848e-05,2.04848e-05
81,177.523,0.68663,0.65331,1.21311,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.98016e-05,1.98016e-05,1.98016e-05
82,181.073,0.63186,0.68671,1.028,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.90949e-05,1.90949e-05,1.90949e-05
83,185.971,0.74647,0.7471,1.11101,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.83646e-05,1.83646e-05,1.83646e-05
84,190.795,0.74948,0.85141,1.12565,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.76107e-05,1.76107e-05,1.76107e-05
85,194.838,0.6684,0.77068,1.11468,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.68333e-05,1.68333e-05,1.68333e-05
86,199.656,0.97691,1.12427,1.47681,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.60323e-05,1.60323e-05,1.60323e-05
87,203.591,0.69929,1.03418,1.19711,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.52077e-05,1.52077e-05,1.52077e-05
88,207.37,0.59953,0.66511,0.99315,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.43596e-05,1.43596e-05,1.43596e-05
89,211.297,0.64762,0.72855,1.10957,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.34879e-05,1.34879e-05,1.34879e-05
90,216.753,0.53636,0.6333,1.01406,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.25927e-05,1.25927e-05,1.25927e-05
91,219.269,0.5316,0.51544,0.92184,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.16739e-05,1.16739e-05,1.16739e-05
92,221.849,0.65549,0.54528,1.09915,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,1.07315e-05,1.07315e-05,1.07315e-05
93,224.298,0.79864,0.62423,1.34912,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,9.76562e-06,9.76562e-06,9.76562e-06
94,226.447,0.47839,0.43175,0.90707,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,8.77613e-06,8.77613e-06,8.77613e-06
95,229.597,0.60635,0.53673,0.94177,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,7.76308e-06,7.76308e-06,7.76308e-06
